order_id,product_id,jumlah_order
1,1,1
1,6,9
2,2,3
2,7,2
2,6,9
2,12,4
3,3,6
3,7,4
3,12,10
3,2,10
4,6,5
4,10,7
4,8,7
5,13,9
5,14,5
5,15,3
5,1,10
5,2,10
6,8,3
6,10,4
6,13,4
7,8,6
7,1,10
8,3,8
8,9,9
8,12,5
9,3,2
10,2,5
10,7,4
10,6,6
11,7,3
11,15,1
11,3,10
11,8,3
12,3,9
12,12,4
12,7,4
12,11,2
12,1,7
13,9,9
13,5,8
13,1,4
13,10,1
13,15,4
14,7,2
14,6,9
14,12,2
14,1,9
14,8,6
15,15,5
15,1,10
16,5,5
16,6,2
16,4,9
16,10,7
17,7,1
17,6,10
17,14,5
17,9,5
17,1,5
18,6,10
19,4,6
19,13,6
19,8,2
19,14,1
19,7,3
20,1,2
20,13,3
20,6,10
21,6,3
22,8,5
23,11,1
23,14,4
23,5,10
24,14,7
24,6,5
24,9,3
24,15,6
24,3,9
25,14,6
26,14,10
26,15,4
26,4,10
27,2,4
27,10,4
27,15,5
28,9,4
28,1,5
28,10,1
29,4,3
30,1,10
30,2,8
31,7,9
31,5,3
31,9,9
32,10,1
32,9,7
33,12,9
33,2,2
33,11,8
33,1,3
34,14,7
34,7,2
34,2,5
35,12,3
35,2,6
36,5,10
37,8,6
37,15,5
37,2,10
37,14,4
38,8,6
38,2,9
38,11,7
38,1,10
38,3,5
39,6,4
40,10,4
41,6,6
41,5,1
41,15,9
41,11,2
42,3,4
42,10,2
42,14,10
43,6,2
43,14,5
43,8,6
44,3,10
45,4,8
45,2,1
45,15,3
45,11,7
46,12,2
46,11,2
46,4,5
47,12,10
47,4,4
48,15,6
48,11,1
48,6,2
48,1,10
48,13,5
49,7,7
49,4,3
49,3,1
50,7,4
50,15,4
51,7,3
51,8,1
51,11,10
51,2,9
51,4,2
52,1,1
52,2,4
52,7,6
52,14,4
53,15,8
53,12,10
53,4,1
53,8,8
54,7,8
55,4,2
55,15,4
55,13,1
56,3,8
56,6,7
56,15,3
56,8,7
56,4,10
57,11,10
57,15,10
57,1,10
57,5,2
57,4,2
58,9,9
59,5,7
60,15,7
60,11,10
61,1,9
61,7,9
61,8,9
61,10,6
62,13,2
63,10,2
63,1,3
63,14,8
63,7,1
63,3,2
64,11,1
64,1,3
64,6,3
64,9,7
64,4,4
65,4,5
65,5,6
66,1,8
66,9,4
66,15,4
66,12,9
66,13,2
67,4,4
68,15,2
69,11,7
69,13,9
69,8,3
69,2,9
70,2,2
70,4,10
70,14,1
70,8,6
71,2,10
71,7,6
71,15,3
71,14,2
71,3,7
72,8,2
72,11,5
72,2,4
72,3,5
72,12,10
73,8,5
74,14,6
74,10,2
74,7,2
74,13,6
75,7,8
76,13,1
76,14,1
76,3,7
76,6,6
77,10,3
77,1,1
77,13,3
78,9,8
78,7,9
78,4,4
79,1,5
80,2,1
80,11,10
80,7,10
80,14,4
81,1,9
81,4,3
81,3,8
81,2,2
82,10,10
82,12,2
82,1,2
82,11,2
83,8,2
83,15,6
83,14,7
84,10,3
84,6,8
85,14,2
85,6,3
86,2,5
86,3,7
86,13,10
86,6,3
86,14,5
87,12,8
87,3,10
87,6,1
87,8,10
87,11,10
88,11,3
88,15,9
88,12,8
89,2,6
89,7,6
89,11,9
90,8,6
90,7,9
90,10,1
90,2,2
90,11,3
91,5,5
91,14,6
91,11,6
91,1,7
91,8,7
92,9,4
92,5,10
92,2,4
92,15,9
93,3,5
93,15,7
93,11,10
94,14,3
94,8,2
94,11,3
94,12,3
94,10,2
95,6,2
95,13,10
95,12,2
95,8,3
95,5,7
96,6,10
97,6,9
97,4,8
97,5,8
98,13,3
98,12,6
98,4,8
99,5,1
99,12,5
100,10,4
100,8,9
100,6,8
101,1,7
101,6,4
101,9,10
102,15,1
102,5,4
103,1,2
104,15,6
104,4,4
104,2,4
104,10,10
105,5,2
105,15,2
106,3,10
106,13,3
106,11,8
106,2,4
107,9,1
107,1,10
107,8,9
107,7,2
108,2,7
108,11,9
109,7,4
110,1,4
110,4,10
110,11,3
110,8,4
110,10,1
111,5,6
111,2,6
111,1,10
111,10,9
112,12,9
113,14,9
113,12,7
113,11,5
113,8,9
113,10,2
114,3,3
115,11,1
116,5,6
116,2,6
116,6,8
116,8,4
116,12,7
117,5,7
117,7,7
117,15,3
118,13,6
119,8,10
119,6,3
119,2,7
119,15,8
120,8,1
120,5,8
120,3,2
121,2,3
121,4,6
121,14,10
122,5,7
122,4,6
122,2,4
123,9,5
124,9,2
125,12,6
126,5,2
127,10,8
127,9,5
127,1,3
128,9,5
128,5,10
128,7,3
128,10,9
128,6,10
129,7,5
129,8,3
129,6,1
129,9,10
129,3,6
130,14,1
131,3,9
131,1,5
131,12,1
132,14,10
133,4,3
133,10,2
134,1,3
134,4,6
134,12,6
134,3,4
134,15,2
135,2,7
135,9,7
135,13,10
135,15,10
135,8,9
136,4,1
136,7,1
137,5,8
137,1,7
137,4,2
137,2,6
138,13,9
138,2,1
138,3,1
138,5,7
139,9,3
139,12,10
139,2,5
139,14,3
140,13,10
140,15,6
141,14,2
141,1,4
141,6,4
141,8,4
142,12,9
142,8,4
143,6,2
143,12,9
143,14,8
143,5,7
144,2,5
144,15,7
145,6,8
145,14,5
146,5,8
147,2,10
148,1,3
149,5,8
149,10,8
150,11,3
151,4,6
151,1,10
151,3,4
151,12,7
152,14,8
152,8,2
152,11,7
153,10,9
154,15,6
154,9,8
154,1,9
154,13,7
155,10,10
155,11,8
155,14,5
156,4,7
156,9,8
157,1,1
157,7,8
157,13,4
158,13,7
158,6,7
158,10,9
159,15,2
159,8,4
159,13,7
159,5,5
160,10,3
160,4,2
160,1,8
160,5,9
161,3,10
161,5,9
162,7,8
162,13,3
163,1,1
163,9,1
163,14,5
164,13,10
165,12,5
165,15,10
166,12,6
166,6,6
166,8,7
166,1,9
166,3,9
167,14,3
168,15,7
168,11,2
168,7,10
168,2,3
169,6,1
170,3,6
170,15,9
170,9,7
170,6,3
171,8,8
171,6,6
171,10,1
171,3,10
171,13,9
172,2,9
172,11,3
172,14,3
172,10,7
172,6,1
173,5,5
173,7,6
173,3,4
173,12,3
173,15,2
174,13,4
174,7,6
174,9,6
174,1,3
175,5,9
175,8,5
175,1,8
175,2,6
176,14,4
176,12,7
176,9,1
176,5,2
177,15,3
177,7,1
177,14,5
177,5,7
178,8,8
178,7,8
179,12,3
179,1,1
179,2,10
180,14,7
181,4,3
181,6,1
181,14,3
181,2,4
181,11,6
182,7,10
183,4,10
184,7,7
184,14,8
184,12,3
185,14,1
185,2,1
185,13,6
185,11,10
186,9,5
186,6,4
186,3,9
186,4,8
187,9,1
187,8,3
187,2,6
187,11,2
188,11,3
188,14,1
188,12,2
189,6,7
190,11,6
191,1,4
191,5,10
191,12,5
191,10,5
191,7,3
192,15,2
192,1,4
192,7,8
193,9,7
193,5,9
193,3,2
194,4,1
195,6,8
195,4,6
195,2,3
196,10,9
196,1,9
196,8,4
196,9,5
196,11,8
197,6,9
197,13,9
198,1,2
198,12,10
199,2,7
199,5,4
199,11,5
200,12,5
200,13,6
200,4,6
200,6,4
200,2,3
201,13,9
201,12,1
201,7,3
201,3,6
201,10,3
202,9,6
202,14,1
202,4,7
202,5,6
203,4,6
203,14,2
203,6,6
204,6,7
204,1,1
204,12,7
205,7,10
205,9,2
205,15,6
205,2,4
205,12,3
206,10,4
206,13,8
207,15,6
207,13,1
207,10,4
207,6,8
208,14,6
209,9,2
209,14,9
209,6,8
209,1,9
210,1,3
210,6,4
210,4,7
210,5,2
211,15,3
212,14,2
212,15,10
213,12,4
214,10,8
214,5,10
215,13,4
215,15,2
215,2,5
215,4,9
215,14,9
216,4,9
216,11,1
216,7,7
216,15,9
216,5,4
217,4,5
217,12,10
218,15,5
218,5,10
219,11,8
220,15,3
221,2,10
221,3,5
221,13,1
222,5,5
222,11,2
222,14,10
222,1,2
222,2,9
223,2,7
223,15,10
223,10,5
224,11,5
224,9,6
224,1,7
224,12,10
225,13,10
226,10,6
226,2,7
226,4,3
226,13,4
227,4,10
227,1,9
227,7,6
227,5,8
227,9,1
228,12,1
228,14,3
229,6,8
230,11,8
231,1,1
231,10,6
231,13,10
231,15,7
231,8,5
232,15,4
232,3,8
232,14,7
232,4,5
233,4,3
233,3,4
234,13,9
234,4,3
234,7,6
235,2,10
236,8,4
236,6,5
237,11,9
237,10,2
237,1,3
238,3,10
238,12,1
238,6,4
238,2,2
238,7,2
239,15,2
239,3,2
239,7,8
240,4,9
240,2,3
240,15,7
240,1,7
240,7,8
241,1,4
241,10,2
241,2,7
241,11,4
241,3,4
242,3,9
242,12,7
242,6,6
242,1,10
243,10,8
243,7,5
243,2,1
243,9,6
244,1,5
244,6,1
244,4,8
244,2,10
245,11,5
245,6,2
245,15,10
245,9,6
245,14,7
246,7,5
246,15,7
246,14,2
246,6,3
247,14,3
247,2,10
247,9,8
248,9,4
249,3,7
249,7,3
249,15,3
250,2,9
250,15,3
250,14,7
250,1,4
251,5,8
251,15,8
251,8,8
